refcode,cif_path,NH3_uptake_298K_1bar [mmol/g]
ABEXIQ,cifs/ABEXIQ.cif,8.503474
ABEXOW,cifs/ABEXOW.cif,8.171084
ABEXUC,cifs/ABEXUC.cif,8.263816
ABEYAJ,cifs/ABEYAJ.cif,8.029264
ABEYIR,cifs/ABEYIR.cif,7.666611
ABIYIV,cifs/ABIYIV.cif,1.9948
ACUTOI,cifs/ACUTOI.cif,4.375513
ADIQEL,cifs/ADIQEL.cif,0.8752
ADOBAX,cifs/ADOBAX.cif,0.302455
AFIXAO,cifs/AFIXAO.cif,0.028587
AFOTUL,cifs/AFOTUL.cif,2.358864
AFOVAT,cifs/AFOVAT.cif,2.693346
AFOVIB,cifs/AFOVIB.cif,2.350467
AFOVOH,cifs/AFOVOH.cif,2.465062
AFOYOK,cifs/AFOYOK.cif,0.018661
AGARUW,cifs/AGARUW.cif,6.990875
AGAXOV,cifs/AGAXOV.cif,0.04802
AJAYIT,cifs/AJAYIT.cif,3.495685
ALAMUW,cifs/ALAMUW.cif,0.223322
ALIXUP,cifs/ALIXUP.cif,8.425083
ALUKIC,cifs/ALUKIC.cif,3.696475
ALULAV,cifs/ALULAV.cif,3.563514
ALULID,cifs/ALULID.cif,3.073167
AMILUE,cifs/AMILUE.cif,1.039812
AMUXAI,cifs/AMUXAI.cif,1.500546
ANENEN,cifs/ANENEN.cif,3.013846
ANOMUM,cifs/ANOMUM.cif,0.239701
ANUGIA,cifs/ANUGIA.cif,0.016923
AROFAP,cifs/AROFAP.cif,3.780053
AROFET,cifs/AROFET.cif,2.908763
ASADAA,cifs/ASADAA.cif,2.230326
ATIBAG,cifs/ATIBAG.cif,0.041693
ATIBIO,cifs/ATIBIO.cif,0.010067
ATIBOU01,cifs/ATIBOU01.cif,0.039866
ATIBOU,cifs/ATIBOU.cif,0.050911
ATIBUA,cifs/ATIBUA.cif,0.038736
ATICAH,cifs/ATICAH.cif,0.04094
ATIJUJ,cifs/ATIJUJ.cif,2.029122
ATOWIQ,cifs/ATOWIQ.cif,2.130113
ATOWOW,cifs/ATOWOW.cif,1.849669
AVELOD,cifs/AVELOD.cif,0.048687
AVEMAQ,cifs/AVEMAQ.cif,0.019188
AVIMOI,cifs/AVIMOI.cif,4.450842
AVIPAX,cifs/AVIPAX.cif,9.059938
AVUDAX,cifs/AVUDAX.cif,0.045424
AWEJIW,cifs/AWEJIW.cif,3.770986
AZIXUD,cifs/AZIXUD.cif,7.355054
BAKGIF,cifs/BAKGIF.cif,0.69857
BAKJEE,cifs/BAKJEE.cif,2.002234
BAKJII,cifs/BAKJII.cif,0.379972
BANMAG,cifs/BANMAG.cif,2.948868
BARZUR,cifs/BARZUR.cif,2.859596
BASJUB,cifs/BASJUB.cif,0.905977
BAWRUO,cifs/BAWRUO.cif,7.325189
BAXSIE,cifs/BAXSIE.cif,7.395202
BAZJIX,cifs/BAZJIX.cif,5.617341
BEPLUF,cifs/BEPLUF.cif,0.013907
BEPMAM,cifs/BEPMAM.cif,0.011657
BEPMIU,cifs/BEPMIU.cif,0.24767
BEPNIV,cifs/BEPNIV.cif,0.49244
BEPNOB,cifs/BEPNOB.cif,0.459115
BEPNUH,cifs/BEPNUH.cif,0.084971
BEPPAP,cifs/BEPPAP.cif,0.344168
BEPPIX,cifs/BEPPIX.cif,0.005942
BEPPOD,cifs/BEPPOD.cif,0.976389
BEPVEZ,cifs/BEPVEZ.cif,0.081949
BEPVID,cifs/BEPVID.cif,0.127895
BEPVOJ01,cifs/BEPVOJ01.cif,0.18422
BEPVOJ,cifs/BEPVOJ.cif,0.223519
BETDEL,cifs/BETDEL.cif,6.37352
BETFEN,cifs/BETFEN.cif,7.197146
BETFUD,cifs/BETFUD.cif,7.305942
BETGAK,cifs/BETGAK.cif,7.268554
BEXPAX,cifs/BEXPAX.cif,0.600429
BEXSAA,cifs/BEXSAA.cif,14.91884
BEXTUV,cifs/BEXTUV.cif,11.01737
BEYSEF,cifs/BEYSEF.cif,0.096728
BIBXUH,cifs/BIBXUH.cif,0.020601
BORBEQ,cifs/BORBEQ.cif,7.413262
BUGSAY,cifs/BUGSAY.cif,5.615073
BUGSIG,cifs/BUGSIG.cif,5.780264
BUKMUQ,cifs/BUKMUQ.cif,5.327465
BURJOO,cifs/BURJOO.cif,2.546695
BUSQEM,cifs/BUSQEM.cif,0.084141
BUVYEX,cifs/BUVYEX.cif,0.08516
BUVYIB,cifs/BUVYIB.cif,0.075705
CADPII,cifs/CADPII.cif,0.0149
CANRIU,cifs/CANRIU.cif,3.777037
CANRUG,cifs/CANRUG.cif,5.05913
CAVSUP,cifs/CAVSUP.cif,2.51253
CAWDOU02,cifs/CAWDOU02.cif,0.082263
CAWVIH,cifs/CAWVIH.cif,0.058463
CAXVII,cifs/CAXVII.cif,3.141982
CAXVOO,cifs/CAXVOO.cif,2.500075
CAXWAB,cifs/CAXWAB.cif,4.488972
CAXWEF,cifs/CAXWEF.cif,4.795259
CAXWIJ,cifs/CAXWIJ.cif,4.595941
CAYDEN,cifs/CAYDEN.cif,0.146398
